item,quantity,cost per,cost total,vendor,link,,
RAKwireless 8 dBi Outdoor Fiberglass Helium Hotspot Antenna US 868/915 MHz PID 916001,1,$49.97,49.97,rokland,https://store.rokland.com/products/rakwireless-8-dbi-outdoor-fiberglass-helium-hotspot-antenna-us-868-915-mhz?currency=USD&utm_source=google&utm_medium=cpc&utm_campaign=google%2Bshopping&gad_source=1&gad_campaignid=1051542938&gclid=Cj0KCQjw0LDBBhCnARIsAMpYlAoj6PUchoC5qC5_BYCgF0lGmhhKd7eKBcJg6Xj9wqI9rPcPGtLgR-0aAro_EALw_wcB,,
"XRDS -RF 10ft N Male to N Female Cable, 50 ohm KMR240 Low Loss N Connector Coax Extension Cable Jumper for WiFi/Ham Radio Antenna, Signal Booster, Router, Amplifier",2,17.99,35.98,amazon,https://www.amazon.com/XRDS-RF-Connector-Extension-Amplifier/dp/B09DCS7X9L/ref=sr_1_1?crid=2P6O12GXW9ECT&keywords=XRDS%2B-RF%2B6ft%2BN%2BMale%2Bto%2BN%2BFemale%2BCable%2C%2B50%2Bohm%2BKMR240%2BLow%2BLoss%2BN%2BConnector%2BCoax%2BExtension%2BCable%2BJumper%2Bfor%2BWiFi%2FHam%2BRadio%2BAntenna%2C%2BSignal%2BBooster%2C%2BRouter%2C%2BAmplifier%2B10%2Bft&qid=1692919272&sprefix=xrds%2B-rf%2B6ft%2Bn%2Bmale%2Bto%2Bn%2Bfemale%2Bcable%2C%2B50%2Bohm%2Bkmr240%2Blow%2Bloss%2Bn%2Bconnector%2Bcoax%2Bextension%2Bcable%2Bjumper%2Bfor%2Bwifi%2Fham%2Bradio%2Bantenna%2C%2Bsignal%2Bbooster%2C%2Brouter%2C%2Bamplifier%2B10%2Bf%2Caps%2C144&sr=8-1&th=1,,
JIANFA Car Push Button Switch DIY Switch Off/ON Universal DC12V Switch for Fog Driving Lights neon Lights LED Light bar etc.,1,$7.99,7.99,amazon,https://www.amazon.com/button-switch-universal-driving-lights/dp/B07G17HWW8/,,
"VASGOR 12” Ground Anchors (4pcs) Easy to Use with Drill, 10mm Diameter, Heavy Duty Anchor Hook for Camping Tent, Canopies, Car Ports, Sheds, Swing Sets, Securing Animals – Black Powder Coated",1,19.98,19.98,amazon,https://www.amazon.com/VASGOR-Anchors-Diameter-Canopies-Securing/dp/B0B528ZKSV/ref=sr_1_15?crid=3BUUS3Y9G2WRA&dib=eyJ2IjoiMSJ9.7HR5zIFm-xmWFDZLqAnoyEtYBQmrLtTrCR68ndTVDUfcwurYtZtc1hgznrExg_nH7lZiJDmHOKSSeQzZ5FsHF_RcW_I2cMklYnBkO94k7wzO_MBxNZ6SOAvu6ALRB9L4WxAaLFwI4F3ciGdQgOESNwrsZDzMWiFQyH5UoaP-RiO7nOxjdL-zZXpe6NWgmMvXC766DuHvp_lvxcm3jeUVCc9BRpUIgTHy2MO6D_Qd07t6p9qCzOnf9f3e6ZnLkBQ6qoNcLPjcwRF1kZpHMb4YCSRnjNfEzuD-2t4LC1R53nVAMIOfKfElLGvOqGdsY3g_OtEVRhTKiIvj-PZ2UVPcrNbA7ZJK-D1SH4ozrVdGgxNeji-UTvGd65Mpr94FOnc5mZGCFZov5hk2pRwDzaFmGmsBjDsgBPjDSq5zL7T4ylwUOJLNTuGGTgxXxBwyoQEJ.Q502LddPJg4r9pvOBwL5iHCy0xROYshW6dJIBipIXsk&dib_tag=se&keywords=ground%2Banchors%2B12%22%2Bhook&qid=1742424131&sprefix=ground%2Banchors%2B12%2Bhook%2Caps%2C157&sr=8-15&th=1,,
" VIVO Gray 250ft Bulk Cat6, CCA Ethernet Cable, 23 AWG, UTP Pull Box, Cat-6 Wire, Indoor, Network Installations CABLE-V015 ",~6ft,0.16 (per foot),1.92,amazon,https://www.amazon.com/VIVO-Ethernet-Cable-250ft-CABLE-V015/dp/B01FIMM8WW/ref=sr_1_4?crid=QBRAK1HZ5TYQ&dib=eyJ2IjoiMSJ9.qnCT_YM6-Sgr59jzRbuYkFBvBOVKYTA4ExyKHWJKLbTwN6e9R62r54CBne79Jlt0kNW6iLjJWNV9TJYITWduUHVZMnDJGNRg11O-xahGKbOkFR-wWyCRQm5GUlWwQl0kTkZcs5mH-gSMsnnY3SItTZl88sgKUgZKl98jea-jRVhYBb4bq-uf6ukeWkLC2Q019lf3lleQF_YpmbqWZXB0PAAzhRTzRIm503LdK3I_ZDVieV2HGMhlL4QEpLWYGAN4m_OLUEqXo9eYMQcaxudzQv6uXUsKnEbdfrWuSsUnw6Q.jbb2jUWjuH4rouwoyWgZBGyhWKcln8LKmq6kvKCTSwA&dib_tag=se&keywords=ethernet%2Bcable%2Bspool&qid=1758842232&s=industrial&sprefix=ethernet%2Bcable%2Bspool%2Cindustrial%2C148&sr=1-4&th=1,,
iGreely Flexible 10 Gauge Wire 30 Feet Stranded Oxygen Free Copper Electrical Wire for Solar Panel Automotive Car Marine Boat Speaker LED Light Wiring 10 AWG,"~12ft red, ~12ft black ",1.2 (per foot black + red),14.4,amazon,https://www.amazon.com/dp/B0BYNZSBKW/ref=sspa_dk_detail_6?pd_rd_i=B0BYNZSBKW&pd_rd_w=t0btv&content-id=amzn1.sym.f734d1a2-0bf9-4a26-ad34-2e1b969a5a75&pf_rd_p=f734d1a2-0bf9-4a26-ad34-2e1b969a5a75&pf_rd_r=2TCQT7CZHTTBYK1KYDC7&pd_rd_wg=vCuFz&pd_rd_r=15290b57-39f5-4ccd-8549-83133a8b5c4d&s=industrial&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1,,
"AMPELE Cable Gland 100 Pack PG7 Waterproof Plastic Adjustable 3.5-6mm Cable Glands Joints With Gaskets, Black(PG7) ",5,0.23 (per gland),1.15,amazon,https://www.amazon.com/AMPELE-Waterproof-Plastic-Adjustable-3-5-6mm/dp/B09X4GK3FT/ref=sr_1_1_sspa?keywords=pg7+cable+glands&qid=1688681689&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,,
"3M Dual Lock SJ3550A 1""×8ft Black, Reclosable Fastener Mounting Tape Interlocking Mushroom Shaped Strong Adhesive Hook Lock Sticky Tape Waterproof for Indoor and Outdoor, EZ Pass, Pedalboard, 1 Pack ",6 inch,0.23 (per inch),1.38,amazon,https://www.amazon.com/Reclosable-Fastener-Adhesive-Mounting-Outdoor/dp/B08R3BFZ27/ref=sr_1_2_sspa?crid=O1OAXRO9MACO&dib=eyJ2IjoiMSJ9.EuHPW8E2SYZnbcuRPNDbBEMeY3LvVyen55olEdvomYKCwgpRJZp2wOGybB5YgZLSjtl-I4xZdgyQhsiJE-xxJNaOb-nl6CZiwq2sv1B545iCK1wUNoLUzT7EZqrHZaQmEpslFxK-e42o-LBeexaLJIJWXpyTYjfZudnLvWLBdosLIxyZLxDqXZq8s7oU7HRAP8e_TyIW40m7QRtvSptCl0c7YCOyjYS3ic3dhlXAriw.7OoBdrTTbZDEuFjuPObtZhP1FImigDWZC-qTq-oeE9g&dib_tag=se&keywords=dual%2Block%2Bvelcro&qid=1758841334&sprefix=dual%2Block%2Bvelcr%2Caps%2C180&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,
BougeRV Solar Connectors Y Branch Parallel Adapter Cable Wire Plug Tool Kit for Solar Panel,1,7.99,7.99,amazon,https://www.amazon.com/dp/B0753X68PS/ref=sspa_dk_detail_3?pd_rd_i=B0753X68PS&pd_rd_w=w6QTZ&content-id=amzn1.sym.d81b167d-1f9e-48b6-87d8-8aa5e473ea8c&pf_rd_p=d81b167d-1f9e-48b6-87d8-8aa5e473ea8c&pf_rd_r=K05J432F64QV62G2WQ3H&pd_rd_wg=F5dVU&pd_rd_r=bbf777a5-8858-45b9-8f6a-99a77638065b&s=lawn-garden&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1,,https://www.amazon.com/dp/B0753X68PS/ref=sspa_dk_detail_3?pd_rd_i=B0753X68PS&pd_rd_w=w6QTZ&content-id=amzn1.sym.d81b167d-1f9e-48b6-87d8-8aa5e473ea8c&pf_rd_p=d81b167d-1f9e-48b6-87d8-8aa5e473ea8c&pf_rd_r=K05J432F64QV62G2WQ3H&pd_rd_wg=F5dVU&pd_rd_r=bbf777a5-8858-45b9-8f6a-99a77638065b&s=lawn-garden&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1
"Ring Terminals - Noninsulated, for 12-10 Wire Gauge and 3/8"" Screw",2,0.25 (per ring),0.5,amazon,https://www.mcmaster.com/7113K19/,,
BougeRV 12 PCS Solar Connectors with Spanners Solar Panel Cable Connectors 6 Pairs Male/Female(10AWG) ,1 pair,1.66 (per pair),1.66,amazon,https://www.amazon.com/BougeRV-22PCS-Solar-Connectors-Female/dp/B073TX1N5Q/ref=sr_1_2_sspa?crid=5ZMZV0BSVL6P&dib=eyJ2IjoiMSJ9.ZuWvinfdjGidQ9nTnG3cq_UCF_P0Vj8TjI3MdO_zO5Vyt_Udqb93JOcsJbm0ooSrMx8VbsQrWPoLmrQc4aJkEYIv8jyQXJlOyfNviMXWF3uCC6IpsCrOzAuEi28BvjulaBkVXVrlXnAxticmOAhxu9fTjTSV8mnVqxSDaE9O4lT5Yna7029SOgXohNkeU-V0yBsD0rH2pFA2CX4rTU5u8TxP6pG-La5RHNNX9zAvsmwbGBdfHGf2Z-fRt6BDIPTUU53zVXutRhU-FOHlDivQqbStTP_gHyrP75lQZ8UUw3Y.l98wCeaTKSJJWGaYFgEgF-wA6HgcAoEChIM46RMtdFo&dib_tag=se&keywords=solar%2Bpanel%2Bconnectors&qid=1758842545&s=lawn-garden&sprefix=solar%2Bpanel%2Bconnector%2Clawngarden%2C173&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,
ITBEBE 100-Pack Cat 6 Pass Through RJ45 Connectors (RJ45 Connector / RJ45 Passthrough Cat6/Ethernet Connector) for Solid/Stranded UTP Ethernet Cable ,2,.2(per connector),0.4,amazon,https://www.amazon.com/gp/aw/d/B085F31B38/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=d9cdea892dc8615e35792f02234d15da&hsa_cr_id=2317151670501&qid=1758842643&sr=1-1-9e67e56a-6f64-441f-a281-df67fc737124&ref_=sbx_be_s_sparkle_mcd_asin_0_title&pd_rd_w=X2q4Q&content-id=amzn1.sym.9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d%3Aamzn1.sym.9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d&pf_rd_p=9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d&pf_rd_r=SAS1K3FKAG2DM7HBAE0V&pd_rd_wg=CztSF&pd_rd_r=4017bc3c-bc51-4100-b24c-1274b9192812,,
,,total,1426.92,,,,
